"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2043791390467883194","Mon Apr 13 20:40:13 +0000 2026","0"," Awalnya ngga ngerti berita apaan yg lewat di tl pas ditelusuri... Ya Allaah... Mereka melecehkan dosen??!!! Mereka mahasiswa fakultas hukum??!!? Kampus UI...? Saraap isi otaknya semua.... Kecanduan bokep #fhui #anakhukum #orgil","2043791390467883194","","","in","","0","0","0","https://x.com/undefined/status/2043791390467883194","297515016",
"2043791312869327001","Mon Apr 13 20:39:55 +0000 2026","0","Nggak hanya mahasiswa aja! Ada sejumlah dosen FHUI yang dilecehin di group chat tersebut. Kalau para pemangku kebijakan dinFHUI nggak merasa itu cukup untuk nge-DO para pelaku mengecewakan banget!","2043791312869327001","","","in","","0","0","0","https://x.com/undefined/status/2043791312869327001","851559345556905984",
"2043790938007613520","Mon Apr 13 20:38:26 +0000 2026","4","sumpah jarang -jarang lancar kaya gini ruangan full satu malam and akses bebas mahasiswa/i. Sejauh ini forum FHUI beneran yang paling terbuka dan mending lancarnya dibandingkan kasus 3 tahun terakhir (BEM UI etc.)","2043790938007613520","","","in","","0","0","0","https://x.com/undefined/status/2043790938007613520","1823508498623422465",
"2043788661419130977","Mon Apr 13 20:37:48 +0000 2026","0","@teddyswansons Oof straight to the point. Earlier ask was for pics of those listed names from the FHUI allegation. I don't store or generate personal images but if they're public (socials news etc.) I can web-search for verifiable ones. List any specifics or want me to pull links now?","2043790778980257848","","teddyswansons","en","","0","0","0","https://x.com/undefined/status/2043790778980257848","1720665183188922368",
"2043790099784294432","Mon Apr 13 20:35:06 +0000 2026","0","Jujur ngikutin kasus fhui sampe jam segini gk ada abisnya bener bejat semua","2043790099784294432","","","in","","0","0","0","https://x.com/undefined/status/2043790099784294432","1217855352407916544",
"2043788849453961652","Mon Apr 13 20:33:20 +0000 2026","1","Konteks foto 14 pelaku ks fhui yang dari awal ga masuk ruang sidang terbuka https://t.co/xnl74XyqvJ","2043789658153463924","","kenytimes","in","","0","0","1","https://x.com/undefined/status/2043789658153463924","1097129951013199873",
"2043789571398438970","Mon Apr 13 20:33:00 +0000 2026","6","catat baik-baik muka nih anak anak fhui tahun depan pasti muncul di kursi pejabat","2043789571398438970","","","in","","0","0","0","https://x.com/undefined/status/2043789571398438970","1224295688554418176",
"2043789374777897249","Mon Apr 13 20:32:14 +0000 2026","3","walaupun nanti entah gimana 16 orang ini entah disangsi dengan setegas2nya entah dikirim ke luar negeri sama mami papi setidaknya forum fhui ini bisa jadi gerakan awal buat ekspos busuknya tindak lanjut kampus di indonesia utk pelaku KS","2043789380838666605","","mamarcille","in","","0","0","0","https://x.com/undefined/status/2043789380838666605","1768395532211486720",
"2043789141754949906","Mon Apr 13 20:31:17 +0000 2026","0","beneran nguras energi habis nonton live kasus fhui kok bisa ada orang bejat gitu","2043789141754949906","","","in","","0","0","0","https://x.com/undefined/status/2043789141754949906","1264915593884585984",
"2043788924192206911","Mon Apr 13 20:30:25 +0000 2026","1","Terbangun dalam keadaan timeline X memanas dengan berbagai isu blanket overflight&amp;fhUI","2043788924192206911","","","in","","0","0","0","https://x.com/undefined/status/2043788924192206911","2011030706949144579",
"2043788564669051066","Mon Apr 13 20:29:00 +0000 2026","0","diakhir2 nonton live fhui korban pd speakup sampe gemeteran:( kasiaaan gatega","2043788564669051066","","","in","","0","0","0","https://x.com/undefined/status/2043788564669051066","1290588544725995521",
"2043788556875993312","Mon Apr 13 20:28:58 +0000 2026","2","alahhh lu kebanyakan yapping aja deh kevinnn buktiin tanggung jawab kalian semua ke publik!!! kawal kasus KS #fhui https://t.co/SHYGQSfqZq","2043788556875993312","https://pbs.twimg.com/amplify_video_thumb/2043788462311305216/img/CBRcFHMMtdj6vLVT.jpg","","in","","0","0","0","https://x.com/undefined/status/2043788556875993312","1161273819371147265",
"2043782336198893699","Mon Apr 13 20:04:15 +0000 2026","0","Ditinggal tidur udah ketinggalan info lagi aja tu tentang FHUI","2043782336198893699","","","in","","0","0","0","https://x.com/undefined/status/2043782336198893699","3193025703",
"2043782249846583525","Mon Apr 13 20:03:54 +0000 2026","0","Dari keseluruhan pelaku ks fhui yang meminta maaf tadi gada satupun yang menyampaikan permintaan maaf secara benar bjir..","2043782249846583525","","","in","","0","0","0","https://x.com/undefined/status/2043782249846583525","1638508002067226625",
"2043782180040781932","Mon Apr 13 20:03:38 +0000 2026","0","iyaudah nanti anak fhui rame-rame ke kantas gebukin ni orang sama sirkelnya","2043782180040781932","","","in","","0","0","0","https://x.com/undefined/status/2043782180040781932","1925046805206859777",
"2043781812200321499","Mon Apr 13 20:02:10 +0000 2026","0","jujur gua sedih liat kasus fhui bahkan anak hukum gangerti hukum itu sendiri. our future lawyer tapi ngchn dosen sendiri? what kind of creature you are anj ","2043781812200321499","","","in","","0","0","0","https://x.com/undefined/status/2043781812200321499","3385222467",
"2043781765559660644","Mon Apr 13 20:01:59 +0000 2026","2","ga tidur karena nonton live fhui","2043781765559660644","","","in","","0","0","1","https://x.com/undefined/status/2043781765559660644","1520425615274680320",
"2043781231633150193","Mon Apr 13 19:59:51 +0000 2026","0","abis nontonin fhui","2043781231633150193","","","in","","0","0","0","https://x.com/undefined/status/2043781231633150193","1475830378984214533",
"2043781227220742609","Mon Apr 13 19:59:50 +0000 2026","0"," hanya untuk menimbulkan diskusi di grup jawaban anak fhui semester 6 lho anjir","2043781227220742609","","","in","","0","0","0","https://x.com/undefined/status/2043781227220742609","4834891093",
"2043781197109834223","Mon Apr 13 19:59:43 +0000 2026","0","hidup Perempuan yang melawan #fhui","2043781197109834223","","","in","","0","0","0","https://x.com/undefined/status/2043781197109834223","1737459879538003968",
"2043781061369606528","Mon Apr 13 19:59:11 +0000 2026","7","1. KS bukan cuma tentang penetrasi berbagai lapisan relasi kuasa yang melanggengkan tindakan dan kultur KS. 2. Kasus FHUI ini bukan momen buat tongkrongan toksik semakin sembunyi stop budaya KS patriarkis dan seksis kalian! 3. Selalu beri ruang dan utamakan konsen dari korban","2043781061369606528","","","in","","0","1","5","https://x.com/undefined/status/2043781061369606528","1496462711252664320",
"2043781028482093367","Mon Apr 13 19:59:03 +0000 2026","1","Sedih bgt pen nangis liat grup fhui yg lecehin orang. Gue ketrigger parah pernah di posisi itu dan ngomong di depan muka gue langsung. Gue gak bayangin mereka ngomongin guenya gimana pas lagi gaada gue secara ada orangnya aja blak2an.. nyesek bgt anjr sumpah","2043781028482093367","","","in","","0","0","0","https://x.com/undefined/status/2043781028482093367","1490893000603435013",
"2043781007166599604","Mon Apr 13 19:58:58 +0000 2026","0","Jujur jawaban pelaku KS fhui template bgt lu pada kyk mau orasi kabem alih2 minta maaf atas kesalahan yg dilakukan. Pasti di brief dulu ni si para bgst sama bokap nyokap","2043781007166599604","","","in","","0","1","0","https://x.com/undefined/status/2043781007166599604","1618909770697801735",
"2043780716853637121","Mon Apr 13 19:58:54 +0000 2026","0","minta maaf tapi tetep muter-muter blunder ngomong ga jelas artikulasinya. gw harap fhui dan ui nya bertindak tegas ya dengan kasus ini","2043780989462425822","","adeairza","in","","0","0","0","https://x.com/undefined/status/2043780989462425822","1446378571103043589",
"2043780914468241835","Mon Apr 13 19:58:36 +0000 2026","1","gua td nonton live sidang fhui pelaku minta maafnya pd template anjirr","2043780914468241835","","","in","","0","0","0","https://x.com/undefined/status/2043780914468241835","1832720159095787520",
"2043780894696308926","Mon Apr 13 19:58:31 +0000 2026","0","fhui ni bener bener miniatur negara yang acakadut ini cok","2043780894696308926","","","in","","0","0","0","https://x.com/undefined/status/2043780894696308926","1479290630488477696",
"2043780824483647636","Mon Apr 13 19:58:14 +0000 2026","1","FHUI begini Anjir miris bgt univ top 1 bgini nih? Untung gue ga keterima di UI Menjijikan","2043780824483647636","","","in","","0","0","0","https://x.com/undefined/status/2043780824483647636","1787401321278263296",
"2043780790547558787","Mon Apr 13 19:58:06 +0000 2026","0","dengan kesadaran penuh gua nontonin live kasus fhui padahal nanti pagi kerja","2043780790547558787","","","in","","0","0","0","https://x.com/undefined/status/2043780790547558787","1399931200316207104",
"2043780773548044440","Mon Apr 13 19:58:02 +0000 2026","5","mnamatkan live dikidoy setelah dia ngeluh aslam bbrp kali tapi tetap live thanks dikidoy cat vip audit fhui https://t.co/F796i6hj43","2043780773548044440","https://pbs.twimg.com/media/HFz3x5QasAEhrvd.jpg","","in","","0","0","0","https://x.com/undefined/status/2043780773548044440","1975959002308853760",
"2043780727037407592","Mon Apr 13 19:57:51 +0000 2026","0","baru selesai nonton live fhui kacau banget jirr bener² ga waras orang-orang nih","2043780727037407592","","","in","","0","0","0","https://x.com/undefined/status/2043780727037407592","1751286775748907008",
"2043780716853637121","Mon Apr 13 19:57:49 +0000 2026","1","emosi gw bener2 kekuras grgr nonton live forum 16 pelaku ks di fhui. marah pas tau awalnya dua jadi tumbal sisanya di lantai atas ternyata tidur mungkin pas tau mrk dicepuin akhirnya mau turun. gw tambah marah pas mereka minta maaf tp ga spesifik nyebutin kesalahan mereka.","2043780716853637121","","","in","","0","1","0","https://x.com/undefined/status/2043780716853637121","1446378571103043589",
"2043780587216089262","Mon Apr 13 19:57:18 +0000 2026","0","LUV BGT DIKIDOY #fhui","2043780587216089262","","","in","","0","0","0","https://x.com/undefined/status/2043780587216089262","1161273819371147265",
"2043742856473612568","Mon Apr 13 19:48:34 +0000 2026","3","@hirunclouds @rixyzzz_ @sampahfhui Fhui tu apa kak?","2043778389820223668","","hirunclouds","in","","0","3","0","https://x.com/undefined/status/2043778389820223668","991706950848004099",
"2043778345419321650","Mon Apr 13 19:48:23 +0000 2026","1","butuh intel buat ngulitin bokap nyokap pelaku ks fhui","2043778345419321650","","","in","","0","0","0","https://x.com/undefined/status/2043778345419321650","1743614722027687936",
"2043777929205952590","Mon Apr 13 19:46:44 +0000 2026","0","yaAllah ikutaannn naik darah nonton live fhui","2043777929205952590","","","in","","0","0","0","https://x.com/undefined/status/2043777929205952590","1436748881438515201",
